Category: All categories

Month,treatment in turkey: (Worldwide)
2004-01,0
2004-02,47
2004-03,0
2004-04,0
2004-05,39
2004-06,39
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,36
2004-12,66
2005-01,57
2005-02,61
2005-03,51
2005-04,29
2005-05,0
2005-06,25
2005-07,0
2005-08,0
2005-09,45
2005-10,21
2005-11,21
2005-12,42
2006-01,55
2006-02,0
2006-03,32
2006-04,0
2006-05,16
2006-06,33
2006-07,17
2006-08,0
2006-09,0
2006-10,41
2006-11,39
2006-12,27
2007-01,12
2007-02,25
2007-03,22
2007-04,23
2007-05,20
2007-06,20
2007-07,30
2007-08,9
2007-09,9
2007-10,33
2007-11,24
2007-12,17
2008-01,8
2008-02,23
2008-03,43
2008-04,7
2008-05,36
2008-06,43
2008-07,42
2008-08,29
2008-09,19
2008-10,6
2008-11,50
2008-12,6
2009-01,17
2009-02,18
2009-03,21
2009-04,44
2009-05,26
2009-06,57
2009-07,20
2009-08,21
2009-09,38
2009-10,32
2009-11,59
2009-12,18
2010-01,21
2010-02,57
2010-03,28
2010-04,58
2010-05,25
2010-06,21
2010-07,27
2010-08,34
2010-09,44
2010-10,17
2010-11,47
2010-12,44
2011-01,22
2011-02,23
2011-03,18
2011-04,16
2011-05,30
2011-06,30
2011-07,33
2011-08,32
2011-09,53
2011-10,24
2011-11,46
2011-12,16
2012-01,24
2012-02,32
2012-03,21
2012-04,25
2012-05,39
2012-06,19
2012-07,30
2012-08,34
2012-09,25
2012-10,37
2012-11,43
2012-12,23
2013-01,27
2013-02,13
2013-03,19
2013-04,27
2013-05,33
2013-06,25
2013-07,36
2013-08,28
2013-09,38
2013-10,33
2013-11,44
2013-12,30
2014-01,28
2014-02,42
2014-03,35
2014-04,25
2014-05,39
2014-06,45
2014-07,35
2014-08,33
2014-09,33
2014-10,27
2014-11,49
2014-12,22
2015-01,22
2015-02,27
2015-03,22
2015-04,22
2015-05,37
2015-06,38
2015-07,39
2015-08,27
2015-09,39
2015-10,37
2015-11,42
2015-12,32
2016-01,38
2016-02,38
2016-03,38
2016-04,45
2016-05,41
2016-06,45
2016-07,56
2016-08,21
2016-09,30
2016-10,33
2016-11,51
2016-12,32
2017-01,40
2017-02,36
2017-03,37
2017-04,36
2017-05,48
2017-06,36
2017-07,33
2017-08,28
2017-09,42
2017-10,35
2017-11,62
2017-12,40
2018-01,40
2018-02,44
2018-03,45
2018-04,57
2018-05,47
2018-06,40
2018-07,55
2018-08,28
2018-09,52
2018-10,30
2018-11,76
2018-12,37
2019-01,53
2019-02,54
2019-03,53
2019-04,46
2019-05,39
2019-06,58
2019-07,48
2019-08,49
2019-09,55
2019-10,69
2019-11,63
2019-12,67
2020-01,66
2020-02,59
2020-03,59
2020-04,60
2020-05,63
2020-06,58
2020-07,53
2020-08,72
2020-09,76
2020-10,86
2020-11,89
2020-12,82
2021-01,54
2021-02,62
2021-03,53
2021-04,81
2021-05,66
2021-06,59
2021-07,66
2021-08,73
2021-09,66
2021-10,68
2021-11,98
2021-12,74
2022-01,80
2022-02,60
2022-03,68
2022-04,100
