Category: All categories

Month,turkish lira: (Turkey)
2004-01,0
2004-02,3
2004-03,0
2004-04,3
2004-05,4
2004-06,5
2004-07,4
2004-08,2
2004-09,0
2004-10,7
2004-11,2
2004-12,5
2005-01,8
2005-02,5
2005-03,4
2005-04,1
2005-05,0
2005-06,0
2005-07,2
2005-08,5
2005-09,5
2005-10,1
2005-11,3
2005-12,1
2006-01,2
2006-02,0
2006-03,<1
2006-04,1
2006-05,2
2006-06,2
2006-07,3
2006-08,1
2006-09,1
2006-10,1
2006-11,1
2006-12,<1
2007-01,2
2007-02,1
2007-03,2
2007-04,2
2007-05,1
2007-06,1
2007-07,2
2007-08,2
2007-09,2
2007-10,1
2007-11,2
2007-12,1
2008-01,1
2008-02,1
2008-03,2
2008-04,1
2008-05,1
2008-06,2
2008-07,1
2008-08,2
2008-09,2
2008-10,3
2008-11,2
2008-12,2
2009-01,2
2009-02,2
2009-03,2
2009-04,3
2009-05,2
2009-06,3
2009-07,2
2009-08,2
2009-09,2
2009-10,3
2009-11,2
2009-12,2
2010-01,1
2010-02,2
2010-03,2
2010-04,2
2010-05,2
2010-06,2
2010-07,2
2010-08,2
2010-09,2
2010-10,2
2010-11,2
2010-12,2
2011-01,2
2011-02,2
2011-03,1
2011-04,3
2011-05,3
2011-06,3
2011-07,5
2011-08,4
2011-09,4
2011-10,4
2011-11,3
2011-12,2
2012-01,2
2012-02,3
2012-03,4
2012-04,3
2012-05,3
2012-06,5
2012-07,5
2012-08,5
2012-09,5
2012-10,4
2012-11,3
2012-12,3
2013-01,2
2013-02,3
2013-03,4
2013-04,4
2013-05,5
2013-06,6
2013-07,7
2013-08,8
2013-09,8
2013-10,6
2013-11,4
2013-12,5
2014-01,6
2014-02,6
2014-03,5
2014-04,7
2014-05,7
2014-06,8
2014-07,7
2014-08,9
2014-09,9
2014-10,8
2014-11,7
2014-12,7
2015-01,7
2015-02,9
2015-03,10
2015-04,11
2015-05,12
2015-06,15
2015-07,14
2015-08,17
2015-09,15
2015-10,13
2015-11,10
2015-12,9
2016-01,9
2016-02,9
2016-03,9
2016-04,10
2016-05,13
2016-06,14
2016-07,19
2016-08,15
2016-09,14
2016-10,14
2016-11,15
2016-12,16
2017-01,16
2017-02,15
2017-03,14
2017-04,15
2017-05,15
2017-06,17
2017-07,18
2017-08,18
2017-09,18
2017-10,20
2017-11,17
2017-12,16
2018-01,14
2018-02,11
2018-03,15
2018-04,22
2018-05,37
2018-06,40
2018-07,44
2018-08,100
2018-09,62
2018-10,54
2018-11,36
2018-12,27
2019-01,28
2019-02,23
2019-03,28
2019-04,36
2019-05,45
2019-06,52
2019-07,57
2019-08,56
2019-09,48
2019-10,41
2019-11,23
2019-12,22
2020-01,22
2020-02,20
2020-03,21
2020-04,14
2020-05,17
2020-06,15
2020-07,19
2020-08,36
2020-09,32
2020-10,29
2020-11,35
2020-12,22
2021-01,19
2021-02,24
2021-03,33
2021-04,29
2021-05,22
2021-06,32
2021-07,35
2021-08,36
2021-09,34
2021-10,44
2021-11,58
2021-12,79
2022-01,53
2022-02,36
2022-03,42
2022-04,42
