Category: All categories

Month,turkish lira: (Worldwide)
2004-01,1
2004-02,1
2004-03,1
2004-04,2
2004-05,1
2004-06,2
2004-07,3
2004-08,2
2004-09,1
2004-10,2
2004-11,2
2004-12,2
2005-01,4
2005-02,2
2005-03,2
2005-04,2
2005-05,3
2005-06,2
2005-07,3
2005-08,3
2005-09,3
2005-10,1
2005-11,2
2005-12,1
2006-01,1
2006-02,1
2006-03,2
2006-04,1
2006-05,3
2006-06,3
2006-07,3
2006-08,3
2006-09,2
2006-10,1
2006-11,2
2006-12,1
2007-01,2
2007-02,1
2007-03,2
2007-04,2
2007-05,3
2007-06,2
2007-07,3
2007-08,3
2007-09,2
2007-10,2
2007-11,2
2007-12,1
2008-01,2
2008-02,2
2008-03,2
2008-04,2
2008-05,3
2008-06,3
2008-07,3
2008-08,3
2008-09,3
2008-10,3
2008-11,2
2008-12,2
2009-01,2
2009-02,2
2009-03,2
2009-04,3
2009-05,4
2009-06,4
2009-07,4
2009-08,4
2009-09,3
2009-10,2
2009-11,2
2009-12,2
2010-01,2
2010-02,2
2010-03,3
2010-04,3
2010-05,4
2010-06,4
2010-07,5
2010-08,4
2010-09,3
2010-10,2
2010-11,2
2010-12,2
2011-01,2
2011-02,2
2011-03,3
2011-04,3
2011-05,4
2011-06,4
2011-07,5
2011-08,5
2011-09,4
2011-10,3
2011-11,3
2011-12,2
2012-01,3
2012-02,3
2012-03,3
2012-04,4
2012-05,5
2012-06,5
2012-07,5
2012-08,5
2012-09,5
2012-10,3
2012-11,3
2012-12,3
2013-01,3
2013-02,3
2013-03,4
2013-04,4
2013-05,5
2013-06,6
2013-07,6
2013-08,7
2013-09,6
2013-10,4
2013-11,3
2013-12,4
2014-01,7
2014-02,6
2014-03,5
2014-04,7
2014-05,8
2014-06,8
2014-07,8
2014-08,7
2014-09,7
2014-10,5
2014-11,4
2014-12,5
2015-01,5
2015-02,6
2015-03,8
2015-04,8
2015-05,9
2015-06,11
2015-07,10
2015-08,11
2015-09,9
2015-10,7
2015-11,7
2015-12,6
2016-01,5
2016-02,6
2016-03,6
2016-04,6
2016-05,8
2016-06,10
2016-07,12
2016-08,8
2016-09,7
2016-10,6
2016-11,8
2016-12,9
2017-01,10
2017-02,8
2017-03,8
2017-04,9
2017-05,8
2017-06,9
2017-07,10
2017-08,9
2017-09,9
2017-10,9
2017-11,9
2017-12,8
2018-01,8
2018-02,8
2018-03,9
2018-04,12
2018-05,24
2018-06,21
2018-07,22
2018-08,100
2018-09,41
2018-10,32
2018-11,22
2018-12,15
2019-01,16
2019-02,12
2019-03,20
2019-04,23
2019-05,28
2019-06,25
2019-07,28
2019-08,26
2019-09,22
2019-10,22
2019-11,11
2019-12,12
2020-01,12
2020-02,14
2020-03,14
2020-04,12
2020-05,14
2020-06,10
2020-07,12
2020-08,24
2020-09,23
2020-10,23
2020-11,25
2020-12,14
2021-01,11
2021-02,13
2021-03,22
2021-04,19
2021-05,16
2021-06,18
2021-07,16
2021-08,15
2021-09,15
2021-10,24
2021-11,42
2021-12,79
2022-01,41
2022-02,27
2022-03,30
2022-04,23
